generations,avg_obj
0,-659.9111335567486
1,-659.9291911569774
2,-659.9379792451465
3,-659.9450749707046
4,-659.9517023176443
5,-659.9578581176124
6,-659.9627610858046
7,-659.9676054536155
8,-659.9716094228249
9,-659.9747225943938
10,-659.977605794178
11,-659.9803503235132
12,-659.9829607940243
13,-659.9852259681201
14,-659.9874349509736
15,-659.9894619471763
16,-659.991271293638
17,-659.992918426621
18,-659.9944359716956
19,-659.995691962846
20,-659.9968247737521
21,-659.9977416304955
22,-659.998478278347
23,-659.9990707119972
24,-659.9995609532093
25,-659.9998688810834
26,-660.0
27,-660.0
28,-660.0
29,-660.0
30,-660.0
31,-660.0
32,-660.0
33,-660.0
34,-660.0
35,-660.0
36,-660.0
37,-660.0
38,-660.0
39,-660.0
40,-660.0
41,-660.0
42,-660.0
43,-660.0
44,-660.0
45,-660.0
46,-660.0
47,-660.0
48,-660.0
49,-660.0
50,-660.0
51,-660.0
52,-660.0
53,-660.0
54,-660.0
55,-660.0
56,-660.0
57,-660.0
58,-660.0
59,-660.0
