,odc_locations,fiberlength
0,"(-5.728503, -35.266558)",0.0
1,"(-5.8211095, -35.200444000000005)",2.2182336141947254
2,"(-5.8636376666666665, -35.194057666666666)",5.097441040407155
3,"(-5.8536105, -35.257501500000004)",3.5015523444945362
4,"(-5.786887, -35.192542)",2.536199216625772
5,"(-5.7621795, -35.276971)",1.8317645569495917
6,"(-5.830312, -35.207896500000004)",5.123517078326536
7,"(-5.8782104, -35.1788072)",8.254962580243715
8,"(-5.755528, -35.245867)",0.0
9,"(-5.81840225, -35.214333)",6.685543942198758
10,"(-5.7890733333333335, -35.206849999999996)",4.159055184312902
11,"(-5.8020274999999994, -35.207254999999996)",5.611190071734169
12,"(-5.84139, -35.18167)",0.0
13,"(-5.8768045, -35.2030395)",2.0774986033855694
14,"(-5.84615, -35.20790825)",7.741061517514659
15,"(-5.735797, -35.254392)",0.0
16,"(-5.74278056, -35.28944444)",0.0
17,"(-5.81167, -35.18167)",0.0
18,"(-5.780553333333334, -35.19972)",2.9056697986573448
19,"(-5.84327, -35.27305)",0.0
20,"(-5.724031, -35.247622)",0.0
21,"(-5.79833, -35.18389)",0.0
22,"(-5.862861, -35.1805)",0.0
23,"(-5.7712354999999995, -35.199389)",2.3730186991200743
24,"(-5.82917, -35.1825)",0.0
25,"(-5.750972, -35.255888)",0.0
26,"(-5.80944, -35.20083)",0.0
